"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.224660000E-4,-4.096512318E0,1.335195065E0,8.216953278E0
3.029132000E-3,-4.110869408E0,1.205982566E0,8.331808090E0
5.136893000E-3,-4.091726780E0,1.095912814E0,8.494520187E0
7.242362000E-3,-4.039084435E0,1.004985452E0,8.652446747E0
9.348976000E-3,-3.991228104E0,9.762716293E-1,8.834300995E0
1.145762200E-2,-3.948157310E0,9.571290612E-1,9.006584167E0
1.356371600E-2,-3.890729666E0,9.619147182E-1,9.097511292E0
1.566954900E-2,-3.799802303E0,1.009771109E0,9.221938133E0
1.777548700E-2,-3.728017569E0,1.081555843E0,9.365508080E0
1.988210100E-2,-3.622733593E0,1.153340459E0,9.585647583E0
2.198871600E-2,-3.493520975E0,1.234696507E0,9.772287369E0
2.409533000E-2,-3.378665686E0,1.335195065E0,9.949356079E0
2.620236200E-2,-3.235096216E0,1.445264935E0,1.013121128E1
2.830861200E-2,-3.091526747E0,1.545763373E0,1.025563812E1
3.041522600E-2,-2.971885681E0,1.660618901E0,1.037049294E1
3.252184100E-2,-2.871387243E0,1.765903115E0,1.048056316E1
3.462845500E-2,-2.770888567E0,1.861616015E0,1.055234814E1
3.673512200E-2,-2.727817774E0,1.942971945E0,1.064327526E1
3.884173700E-2,-2.689532757E0,2.019542217E0,1.071506023E1
4.094835100E-2,-2.641676188E0,2.091326952E0,1.082512951E1
4.305496600E-2,-2.636890650E0,2.139183521E0,1.086341476E1
4.516163200E-2,-2.636890650E0,2.196611166E0,1.090170002E1
4.726824700E-2,-2.622533560E0,2.239681959E0,1.089212894E1
4.937486200E-2,-2.608176708E0,2.287538528E0,1.086820030E1
5.148147600E-2,-2.612962246E0,2.306680918E0,1.081077290E1
5.358809100E-2,-2.617748022E0,2.335394859E0,1.071506023E1
5.569626800E-2,-2.612962246E0,2.354537487E0,1.059541893E1
5.780137200E-2,-2.608176708E0,2.388036966E0,1.043270683E1
5.990798700E-2,-2.694318295E0,2.388036966E0,1.028913784E1
6.201460100E-2,-2.751745939E0,2.388036966E0,1.014556789E1
6.412121600E-2,-2.809173822E0,2.364108801E0,1.002114105E1
6.622783000E-2,-2.876172781E0,2.344966173E0,9.858428955E0
6.833444500E-2,-2.943171740E0,2.330609322E0,9.676574707E0
7.044111200E-2,-2.995813847E0,2.316252232E0,9.499505997E0
7.254772600E-2,-3.038884640E0,2.292324066E0,9.274580956E0
7.465434100E-2,-3.096312523E0,2.282752752E0,9.102297783E0
7.676095500E-2,-3.139383316E0,2.258824587E0,8.934800148E0
7.886762200E-2,-3.192025423E0,2.230110645E0,8.800801277E0
8.097423700E-2,-3.225524902E0,2.196611166E0,8.681160927E0
8.308085100E-2,-3.268595695E0,2.167897224E0,8.566305161E0
8.518746600E-2,-3.321237803E0,2.134397745E0,8.484949112E0
8.729408000E-2,-3.369094372E0,2.096112728E0,8.398807526E0
8.940074700E-2,-3.388236761E0,2.072184324E0,8.360522270E0
9.150736200E-2,-3.416950703E0,2.009970903E0,8.307880402E0
9.361397600E-2,-3.421736479E0,1.938186288E0,8.264809608E0
9.572059100E-2,-3.450450182E0,1.861616015E0,8.212167740E0
9.782725700E-2,-3.479164124E0,1.799402595E0,8.126026154E0
9.993382000E-2,-3.493520975E0,1.713261008E0,8.092526436E0
1.020404870E-1,-3.507878065E0,1.651047587E0,8.030312538E0
1.041471010E-1,-3.531806231E0,1.569691658E0,7.992027760E0
1.062537160E-1,-3.555734396E0,1.497906923E0,7.948956966E0
1.083603300E-1,-3.574877024E0,1.426122308E0,7.925028801E0
1.104669970E-1,-3.589233875E0,1.368694544E0,7.896314621E0
1.125736120E-1,-3.574877024E0,1.282552958E0,7.896314621E0
1.146802260E-1,-3.570091486E0,1.239482164E0,7.896314621E0
1.167868410E-1,-3.570091486E0,1.205982566E0,7.901100159E0
1.188934550E-1,-3.574877024E0,1.148554921E0,7.977670670E0
1.210000700E-1,-3.555734396E0,1.105484009E0,8.020741463E0
1.231067370E-1,-3.517449379E0,1.095912814E0,8.054241180E0
1.252133510E-1,-3.503092289E0,1.076770186E0,8.078168869E0
1.273199660E-1,-3.469592810E0,1.052842021E0,8.106883049E0
1.294265800E-1,-3.436093330E0,1.033699393E0,8.116454124E0
1.315332470E-1,-3.402593851E0,1.043270707E0,8.159524918E0
1.336398620E-1,-3.373879910E0,1.048056364E0,8.274380684E0
1.357464760E-1,-3.364308596E0,1.067198873E0,8.379665375E0
1.378530910E-1,-3.345165968E0,1.076770186E0,8.508877754E0
1.399597050E-1,-3.292523861E0,1.081555843E0,8.590232849E0
1.420663200E-1,-3.249453068E0,1.091127157E0,8.695517540E0
1.441729870E-1,-3.177668571E0,1.091127157E0,8.843872070E0
1.462796010E-1,-3.110669374E0,1.095912814E0,8.987442017E0
1.483868930E-1,-3.043670416E0,1.110269666E0,9.150154114E0
1.504928300E-1,-2.986242771E0,1.105484009E0,9.279366493E0
1.525994450E-1,-2.904886723E0,1.095912814E0,9.360722542E0
1.547061120E-1,-2.871387243E0,1.110269666E0,9.470791817E0
1.568127260E-1,-2.885744095E0,1.119840980E0,9.633503914E0
1.589193410E-1,-2.876172781E0,1.129412293E0,9.801001549E0
