"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.153934100E-2,-4.034630775E0,9.913033843E-1,8.883099556E0
1.653934100E-2,-3.894701719E0,9.631046057E-1,8.948413849E0
2.153934100E-2,-3.734123945E0,9.819589853E-1,9.014570236E0
2.653934100E-2,-3.545579672E0,1.025729060E0,9.085545540E0
3.153934100E-2,-3.350143433E0,1.088798523E0,9.152128220E0
3.653934100E-2,-3.168934345E0,1.161643744E0,9.207542419E0
4.153934100E-2,-3.013040543E0,1.233796120E0,9.250390053E0
4.653934100E-2,-2.884448767E0,1.301196933E0,9.282092094E0
5.153934100E-2,-2.781814337E0,1.364970565E0,9.304232597E0
5.653934100E-2,-2.703767776E0,1.424825549E0,9.318256378E0
6.153934100E-2,-2.650064707E0,1.482437968E0,9.324694633E0
6.653934100E-2,-2.622414827E0,1.532593846E0,9.324402809E0
7.153934100E-2,-2.615625143E0,1.575868487E0,9.319094658E0
7.653934100E-2,-2.623877525E0,1.613529801E0,9.310326576E0
8.153934100E-2,-2.642091990E0,1.643747687E0,9.299882889E0
8.653934100E-2,-2.667079449E0,1.664787769E0,9.289002419E0
9.153934100E-2,-2.696319342E0,1.675828218E0,9.278569221E0
9.653934100E-2,-2.726449728E0,1.674277902E0,9.270040512E0
1.015393410E-1,-2.758424282E0,1.660886765E0,9.262988091E0
1.065393410E-1,-2.791007996E0,1.636447191E0,9.257575989E0
1.115393410E-1,-2.823740244E0,1.602203846E0,9.253638268E0
1.165393410E-1,-2.853317022E0,1.559518933E0,9.251857758E0
1.215393410E-1,-2.878992558E0,1.510930061E0,9.251965523E0
1.265393410E-1,-2.898488760E0,1.459195256E0,9.254182816E0
1.315393410E-1,-2.911454916E0,1.406181574E0,9.258318901E0
1.365393410E-1,-2.916901588E0,1.354038954E0,9.264375687E0
1.415393410E-1,-2.914183378E0,1.303685188E0,9.272449493E0
1.465393410E-1,-2.901240587E0,1.255628824E0,9.283135414E0
1.515393410E-1,-2.877332449E0,1.210695624E0,9.296534538E0
1.565393410E-1,-2.845248461E0,1.169686556E0,9.311647415E0
1.615393410E-1,-2.810306549E0,1.132955432E0,9.326788902E0
1.665393410E-1,-2.774628639E0,1.100660205E0,9.341325760E0
1.715393410E-1,-2.739947796E0,1.071110249E0,9.354988098E0
1.765393410E-1,-2.705854654E0,1.043424487E0,9.368030548E0
1.815393410E-1,-2.672462463E0,1.016905546E0,9.380524635E0
1.865393410E-1,-2.639771938E0,9.915537834E-1,9.392486572E0
1.915393410E-1,-2.607654095E0,9.685039520E-1,9.403856277E0
1.965393410E-1,-2.575701237E0,9.478256702E-1,9.414763451E0
2.015393410E-1,-2.544159174E0,9.299284816E-1,9.425120354E0
2.065393410E-1,-2.514165163E0,9.148212671E-1,9.434641838E0
2.115393410E-1,-2.485957146E0,9.027575850E-1,9.443274498E0
2.165393410E-1,-2.458906174E0,8.932932019E-1,9.451252937E0
2.215393410E-1,-2.432425976E0,8.841044903E-1,9.458966255E0
2.265393410E-1,-2.405874491E0,8.736925125E-1,9.466721535E0
2.315393410E-1,-2.379665852E0,8.614414334E-1,9.474466324E0
2.365393410E-1,-2.354344606E0,8.469905853E-1,9.482090950E0
2.415393410E-1,-2.330047131E0,8.306595683E-1,9.489534378E0
2.465393410E-1,-2.307580233E0,8.121025562E-1,9.496628761E0
2.515393410E-1,-2.286998272E0,7.909355164E-1,9.503391266E0
2.565393410E-1,-2.269356966E0,7.671605349E-1,9.509567261E0
2.615393410E-1,-2.254425526E0,7.418517470E-1,9.515125275E0
2.665393410E-1,-2.241919518E0,7.159872651E-1,9.520060539E0
2.715393410E-1,-2.231664658E0,6.902796030E-1,9.524367332E0
2.765393410E-1,-2.222483397E0,6.652481556E-1,9.528294563E0
2.815393410E-1,-2.214063406E0,6.412119269E-1,9.531902313E0
2.865393410E-1,-2.205773592E0,6.181118488E-1,9.535349846E0
2.915393410E-1,-2.196775913E0,5.961894989E-1,9.538822174E0
2.965393410E-1,-2.186413527E0,5.756139755E-1,9.542465210E0
3.015393410E-1,-2.174393892E0,5.564307570E-1,9.546349525E0
3.065393410E-1,-2.160726070E0,5.388215184E-1,9.550461769E0
3.115393410E-1,-2.145105124E0,5.231060982E-1,9.554856300E0
3.165393410E-1,-2.130260706E0,5.093110800E-1,9.558921814E0
3.215393410E-1,-2.115586758E0,4.971233606E-1,9.562821388E0
3.265393410E-1,-2.100539923E0,4.863238335E-1,9.566692352E0
3.315393410E-1,-2.085044146E0,4.759920835E-1,9.570601463E0
3.365393410E-1,-2.069492102E0,4.653336108E-1,9.574500084E0
3.415393410E-1,-2.053753376E0,4.535762072E-1,9.578452110E0
3.465393410E-1,-2.037815571E0,4.395543635E-1,9.582509995E0
3.515393410E-1,-2.021708488E0,4.231614172E-1,9.586658478E0
3.565393410E-1,-2.004783869E0,4.044589102E-1,9.591018677E0
3.615393410E-1,-1.986426830E0,3.827618957E-1,9.595727921E0
3.665393410E-1,-1.966587186E0,3.585326672E-1,9.600748062E0
3.715393410E-1,-1.946309090E0,3.316079974E-1,9.605847359E0
3.765393410E-1,-1.925219059E0,3.028135896E-1,9.611047745E0
3.815393410E-1,-1.903344035E0,2.730557024E-1,9.616293907E0
3.865393410E-1,-1.880807877E0,2.427397966E-1,9.621540070E0
3.915393410E-1,-1.858546019E0,2.127568722E-1,9.626573563E0
3.965393410E-1,-1.837235928E0,1.839971989E-1,9.631256104E0
4.015393410E-1,-1.817060590E0,1.574337929E-1,9.635554314E0
4.065393410E-1,-1.797958255E0,1.335756481E-1,9.639496803E0
4.115393410E-1,-1.779676080E0,1.129268855E-1,9.643152237E0
4.165393410E-1,-1.762086511E0,9.569171816E-2,9.646568298E0
4.215393410E-1,-1.744501114E0,8.208437264E-2,9.649889946E0
4.265393410E-1,-1.726636171E0,7.185053080E-2,9.653183937E0
4.315393410E-1,-1.708234787E0,6.480830908E-2,9.656507492E0
4.365393410E-1,-1.689537525E0,6.023206934E-2,9.659825325E0
4.415393410E-1,-1.670790195E0,5.736121908E-2,9.663103104E0
4.465393410E-1,-1.652004957E0,5.559249967E-2,9.666342735E0
4.515393410E-1,-1.633359551E0,5.379555747E-2,9.669520378E0
4.565393410E-1,-1.613678813E0,5.104396492E-2,9.672840118E0
4.615393410E-1,-1.594047070E0,4.639550298E-2,9.676116943E0
4.665393410E-1,-1.575906754E0,3.909111395E-2,9.679121017E0
4.715393410E-1,-1.558180213E0,2.812420577E-2,9.682028770E0
4.765393410E-1,-1.542197585E0,1.346827950E-2,9.684618950E0
4.815393410E-1,-1.527154446E0,-4.481870681E-3,9.687009811E0
4.865393410E-1,-1.513305068E0,-2.514144778E-2,9.689151764E0
4.915393410E-1,-1.500623226E0,-4.785419628E-2,9.691039085E0
4.965393410E-1,-1.489076972E0,-7.177465409E-2,9.692671776E0
5.015393410E-1,-1.478593588E0,-9.632768482E-2,9.694063187E0
5.065393410E-1,-1.469047308E0,-1.203529164E-1,9.695245743E0
5.115393410E-1,-1.460100293E0,-1.432227790E-1,9.696287155E0
5.165393410E-1,-1.451359153E0,-1.640011966E-1,9.697270393E0
5.215393410E-1,-1.442487717E0,-1.816526055E-1,9.698279381E0
5.265393410E-1,-1.433449388E0,-1.954412162E-1,9.699351311E0
5.315393410E-1,-1.423965335E0,-2.046878189E-1,9.700556755E0
5.365393410E-1,-1.413869381E0,-2.094862610E-1,9.701931953E0
5.415393410E-1,-1.403225303E0,-2.101309896E-1,9.703462601E0
5.465393410E-1,-1.392344832E0,-2.071033567E-1,9.705094337E0
5.515393410E-1,-1.381314993E0,-2.012792379E-1,9.706793785E0
5.565393410E-1,-1.370380282E0,-1.939854324E-1,9.708491325E0
5.615393410E-1,-1.359773397E0,-1.860459596E-1,9.710139275E0
5.665393410E-1,-1.349556208E0,-1.783685535E-1,9.711707115E0
5.715393410E-1,-1.339567542E0,-1.717995703E-1,9.713209152E0
5.765393410E-1,-1.329221487E0,-1.672277600E-1,9.714710236E0
5.815393410E-1,-1.318101406E0,-1.653852016E-1,9.716256142E0
5.865393410E-1,-1.305341601E0,-1.671515107E-1,9.717948914E0
5.915393410E-1,-1.290871501E0,-1.723550558E-1,9.719791412E0
5.965393410E-1,-1.274727941E0,-1.809515506E-1,9.721764565E0
6.015393410E-1,-1.257452369E0,-1.924973130E-1,9.723793030E0
6.065393410E-1,-1.239478707E0,-2.065474689E-1,9.725811005E0
6.115393410E-1,-1.221396446E0,-2.225468606E-1,9.727746964E0
6.165393410E-1,-1.203307509E0,-2.398060858E-1,9.729590416E0
6.215393410E-1,-1.185612679E0,-2.577112317E-1,9.731305122E0
6.265393410E-1,-1.168337107E0,-2.756217122E-1,9.732903481E0
6.315393410E-1,-1.152136445E0,-2.930722237E-1,9.734324455E0
6.365393410E-1,-1.136948824E0,-3.090784848E-1,9.735615730E0
6.415393410E-1,-1.123198032E0,-3.228607774E-1,9.736763954E0
6.465393410E-1,-1.110880494E0,-3.335962594E-1,9.737814903E0
6.515393410E-1,-1.100065112E0,-3.407854140E-1,9.738794327E0
6.565393410E-1,-1.090359569E0,-3.441085815E-1,9.739768982E0
6.615393410E-1,-1.081819177E0,-3.437551260E-1,9.740733147E0
6.665393410E-1,-1.074000239E0,-3.400818110E-1,9.741727829E0
6.715393410E-1,-1.066752434E0,-3.336269259E-1,9.742747307E0
6.765393410E-1,-1.059472322E0,-3.243589103E-1,9.743854523E0
6.815393410E-1,-1.052009225E0,-3.127503693E-1,9.745042801E0
6.865393410E-1,-1.044388056E0,-2.996543050E-1,9.746273994E0
6.915393410E-1,-1.036963344E0,-2.859460413E-1,9.747478485E0
6.965393410E-1,-1.029765129E0,-2.725701928E-1,9.748623848E0
7.015393410E-1,-1.023290396E0,-2.604083419E-1,9.749638557E0
7.065393410E-1,-1.017533422E0,-2.503027022E-1,9.750505447E0
7.115393410E-1,-1.012429237E0,-2.427140772E-1,9.751228333E0
7.165393410E-1,-1.008124828E0,-2.379344255E-1,9.751791954E0
7.215393410E-1,-1.004519463E0,-2.358046174E-1,9.752216339E0
7.265393410E-1,-1.002216220E0,-2.370945811E-1,9.752422333E0
7.315393410E-1,-1.001060247E0,-2.412371337E-1,9.752438545E0
7.365393410E-1,-1.000772357E0,-2.477422804E-1,9.752305031E0
7.415393410E-1,-1.001052618E0,-2.555635273E-1,9.752075195E0
7.465393410E-1,-1.001576304E0,-2.634725273E-1,9.751811028E0
7.515393410E-1,-1.002312779E0,-2.705208957E-1,9.751542091E0
7.565393410E-1,-1.002821565E0,-2.761271894E-1,9.751332283E0
7.615393410E-1,-1.003096223E0,-2.799554169E-1,9.751194954E0
7.665393410E-1,-1.002836943E0,-2.818894088E-1,9.751165390E0
7.715393410E-1,-1.001902103E0,-2.817871571E-1,9.751264572E0
7.765393410E-1,-9.998085499E-1,-2.797534168E-1,9.751538277E0
