"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.828351000E-3,-6.543889046E-1,-1.087339282E0,8.888082206E-2
8.934966000E-3,-6.922625303E-1,-1.078787208E0,1.267544478E-1
1.104361200E-2,-7.252492309E-1,-1.069013357E0,1.646280587E-1
1.314970500E-2,-7.533490062E-1,-1.048243999E0,1.988364905E-1
1.525553900E-2,-7.826704979E-1,-1.028696299E0,2.306014597E-1
1.736147600E-2,-8.046616316E-1,-1.007926941E0,2.611446977E-1
1.946809100E-2,-8.217658401E-1,-9.773836732E-1,2.843575478E-1
2.157470500E-2,-8.339831233E-1,-9.492838383E-1,3.051269650E-1
2.368132000E-2,-8.413135409E-1,-9.260709882E-1,3.210094273E-1
2.578835100E-2,-8.388700485E-1,-8.979712129E-1,3.307832778E-1
2.789460100E-2,-8.303179741E-1,-8.747583628E-1,3.344484568E-1
3.000121600E-2,-8.144354820E-1,-8.503237963E-1,3.332267404E-1
3.210783000E-2,-7.924443483E-1,-8.319978118E-1,3.271180987E-1
3.421444500E-2,-7.631227970E-1,-8.100066781E-1,3.161225319E-1
3.632111200E-2,-7.313578725E-1,-7.990111113E-1,3.002400398E-1
3.842772600E-2,-6.885973215E-1,-7.819069028E-1,2.819140851E-1
4.053434100E-2,-6.458367705E-1,-7.696896195E-1,2.587012351E-1
4.264095500E-2,-6.006327868E-1,-7.599157691E-1,2.354883701E-1
4.474762200E-2,-5.480984449E-1,-7.415898442E-1,2.086103261E-1
4.685423700E-2,-4.967857897E-1,-7.269290686E-1,1.780670881E-1
4.896085100E-2,-4.442514181E-1,-7.073814273E-1,1.487455666E-1
5.106746600E-2,-3.941605091E-1,-6.866120100E-1,1.169806048E-1
5.317408000E-2,-3.452913165E-1,-6.646208763E-1,8.521563560E-2
5.528225700E-2,-3.000873327E-1,-6.426297426E-1,5.345066637E-2
5.738736200E-2,-2.609919906E-1,-6.218603253E-1,2.412915789E-2
5.949397600E-2,-2.255618125E-1,-5.998691916E-1,-7.635809947E-3
6.160059100E-2,-1.962403059E-1,-5.815432668E-1,-3.695731983E-2
6.370720500E-2,-1.730274558E-1,-5.668824911E-1,-6.261363626E-2
6.581382000E-2,-1.510363221E-1,-5.473348498E-1,-8.582650125E-2
6.792043400E-2,-1.375972927E-1,-5.338957906E-1,-1.090393662E-1
7.002710100E-2,-1.278234571E-1,-5.180133581E-1,-1.310304999E-1
7.213371600E-2,-1.217148080E-1,-5.119046569E-1,-1.505781710E-1
7.424033000E-2,-1.229365394E-1,-5.094612241E-1,-1.701258421E-1
7.634694500E-2,-1.278234571E-1,-5.045742989E-1,-1.908952445E-1
7.845361200E-2,-1.388190240E-1,-5.106829405E-1,-2.079994529E-1
8.056022600E-2,-1.534797698E-1,-5.119046569E-1,-2.263254076E-1
8.266684100E-2,-1.742491722E-1,-5.131264329E-1,-2.422078848E-1
8.477345500E-2,-2.011272311E-1,-5.143481493E-1,-2.593120933E-1
8.688007000E-2,-2.255618125E-1,-5.094612241E-1,-2.739728391E-1
8.898673700E-2,-2.597702444E-1,-5.070177913E-1,-2.861901522E-1
9.109335100E-2,-2.927569449E-1,-5.033525825E-1,-2.959639728E-1
9.319996600E-2,-3.294088244E-1,-4.984656572E-1,-3.045161068E-1
9.530658000E-2,-3.660607338E-1,-4.911352694E-1,-3.069595397E-1
9.741324700E-2,-4.027126133E-1,-4.862483740E-1,-3.081812859E-1
9.951980900E-2,-4.369210303E-1,-4.764745235E-1,-3.045161068E-1
1.016264760E-1,-4.747946560E-1,-4.715875983E-1,-2.984074354E-1
1.037330910E-1,-5.114465356E-1,-4.630354941E-1,-2.898553312E-1
1.058397050E-1,-5.480984449E-1,-4.581485987E-1,-2.776380479E-1
1.079463200E-1,-5.871937871E-1,-4.483747482E-1,-2.654207349E-1
1.100529870E-1,-6.250674129E-1,-4.447095692E-1,-2.483165264E-1
1.121596010E-1,-6.629409790E-1,-4.373791814E-1,-2.324340492E-1
1.142662160E-1,-6.995928884E-1,-4.373791814E-1,-2.104429156E-1
1.163728300E-1,-7.338013053E-1,-4.324922562E-1,-1.933387071E-1
1.184794450E-1,-7.704532146E-1,-4.324922562E-1,-1.713475734E-1
1.205860590E-1,-8.022181988E-1,-4.276053309E-1,-1.530216336E-1
1.226927260E-1,-8.339831233E-1,-4.239401519E-1,-1.322522312E-1
1.247993410E-1,-8.620828986E-1,-4.288270772E-1,-1.127045527E-1
1.269059550E-1,-8.852958083E-1,-4.300487936E-1,-9.560033679E-2
1.290125700E-1,-9.072869420E-1,-4.386008978E-1,-7.849612087E-2
1.311192370E-1,-9.243911505E-1,-4.495964646E-1,-6.017018110E-2
1.332258510E-1,-9.427170753E-1,-4.667007029E-1,-4.550942779E-2
1.353324660E-1,-9.537126422E-1,-4.813614488E-1,-3.329212964E-2
1.374390800E-1,-9.634864926E-1,-4.911352694E-1,-2.107483521E-2
1.395456950E-1,-9.671516418E-1,-5.106829405E-1,-8.857538924E-3
1.416523090E-1,-9.671516418E-1,-5.351175666E-1,-3.054323897E-4
1.437589760E-1,-9.622647166E-1,-5.583304167E-1,7.024944760E-3
1.458655910E-1,-9.524909258E-1,-5.766563416E-1,1.313359290E-2
1.479728820E-1,-9.390518665E-1,-6.036871076E-1,1.908952370E-2
1.500788200E-1,-9.195042253E-1,-6.293434501E-1,2.275471389E-2
1.521854340E-1,-8.950695992E-1,-6.476693749E-1,2.397644334E-2
1.542921010E-1,-8.633046746E-1,-6.733257174E-1,2.641990222E-2
1.563987160E-1,-8.327614069E-1,-6.916516423E-1,2.764163166E-2
1.585053300E-1,-8.022181988E-1,-7.026472092E-1,2.764163166E-2
1.606119970E-1,-7.680097222E-1,-7.002037764E-1,2.641990222E-2
1.627186120E-1,-7.338013053E-1,-7.002037764E-1,2.397644334E-2
1.648252260E-1,-7.008146048E-1,-6.953168511E-1,2.275471389E-2
1.669318410E-1,-6.727148294E-1,-6.904299259E-1,2.153298259E-2
1.690384550E-1,-6.397281289E-1,-6.757691503E-1,2.031125315E-2
1.711451220E-1,-6.104066372E-1,-6.598866582E-1,2.153298259E-2
1.732516840E-1,-5.810851455E-1,-6.415607333E-1,2.153298259E-2
1.753583510E-1,-5.529853702E-1,-6.330085993E-1,2.397644334E-2
1.774649660E-1,-5.273290277E-1,-6.159043908E-1,2.764163166E-2
1.795715800E-1,-4.992292523E-1,-6.036871076E-1,3.008509055E-2
1.816781950E-1,-4.723511934E-1,-5.988001823E-1,3.619373962E-2
1.837848090E-1,-4.479165971E-1,-5.963567495E-1,4.230238497E-2
1.858914240E-1,-4.210385382E-1,-5.829176903E-1,4.718930274E-2
1.879980910E-1,-3.929387629E-1,-5.816959739E-1,5.329795182E-2
1.901047050E-1,-3.709476292E-1,-5.804742575E-1,5.818486959E-2
1.922113200E-1,-3.465130329E-1,-5.829176903E-1,6.307178736E-2
1.943179340E-1,-3.208567202E-1,-5.804742575E-1,6.551524997E-2
1.964245490E-1,-2.988655865E-1,-5.853611827E-1,6.795870513E-2
1.985312160E-1,-2.805396616E-1,-5.865828991E-1,6.918043643E-2
2.006378300E-1,-2.609919906E-1,-5.975784659E-1,7.040216774E-2
2.027444450E-1,-2.390008420E-1,-5.963567495E-1,6.795870513E-2
2.048510590E-1,-2.231183648E-1,-6.012436748E-1,6.918043643E-2
2.069577260E-1,-2.072358727E-1,-6.061306000E-1,6.551524997E-2
2.090643410E-1,-1.925751269E-1,-6.134609580E-1,6.185005978E-2
2.111709550E-1,-1.840230078E-1,-6.159043908E-1,5.574141070E-2
2.132776220E-1,-1.766926348E-1,-6.195695996E-1,4.718930274E-2
2.153842370E-1,-1.693622619E-1,-6.244565248E-1,3.619373962E-2
2.174908510E-1,-1.705839932E-1,-6.281217337E-1,2.764163166E-2
2.195974660E-1,-1.742491722E-1,-6.268999577E-1,1.908952370E-2
2.217040800E-1,-1.779143661E-1,-6.281217337E-1,1.298087649E-2
2.238106950E-1,-1.828012913E-1,-6.305651665E-1,9.315688163E-3
2.259173090E-1,-1.889099330E-1,-6.305651665E-1,8.093958721E-3
2.280239240E-1,-1.986837685E-1,-6.232348084E-1,8.093958721E-3
2.301305910E-1,-2.084576041E-1,-6.134609580E-1,1.053741761E-2
2.322372050E-1,-2.194531709E-1,-6.036871076E-1,1.298087649E-2
2.343438200E-1,-2.328922004E-1,-5.853611827E-1,1.664606482E-2
2.364504340E-1,-2.475529462E-1,-5.707004070E-1,2.519817278E-2
2.385571010E-1,-2.622137070E-1,-5.499309897E-1,3.130681813E-2
2.406637160E-1,-2.768744528E-1,-5.291616321E-1,3.741546720E-2
2.427703300E-1,-2.915352285E-1,-5.047270060E-1,4.352411628E-2
2.448769450E-1,-3.110828996E-1,-4.766272306E-1,4.841103405E-2
2.469836120E-1,-3.306305707E-1,-4.509709179E-1,5.574141070E-2
2.490902260E-1,-3.477347791E-1,-4.155407548E-1,5.940660089E-2
2.511968410E-1,-3.672824502E-1,-3.935496211E-1,6.429351866E-2
2.533034550E-1,-3.880518377E-1,-3.642281294E-1,6.918043643E-2
2.554100700E-1,-4.051560760E-1,-3.287979662E-1,7.162389904E-2
2.575166840E-1,-4.259254634E-1,-3.080285788E-1,7.406735420E-2
2.596233510E-1,-4.442514181E-1,-2.835939825E-1,7.651081681E-2
2.617299140E-1,-4.613556266E-1,-2.603811026E-1,7.773254067E-2
2.638365800E-1,-4.735729098E-1,-2.408334464E-1,7.895427197E-2
2.659431950E-1,-4.845684767E-1,-2.261726856E-1,7.895427197E-2
2.680498090E-1,-4.943423271E-1,-2.115119249E-1,7.895427197E-2
2.701564240E-1,-4.980075061E-1,-1.992946416E-1,7.895427197E-2
2.722630390E-1,-5.041161776E-1,-1.870773435E-1,7.773254067E-2
2.743697050E-1,-5.041161776E-1,-1.821904182E-1,7.773254067E-2
2.764763200E-1,-5.041161776E-1,-1.797469556E-1,7.651081681E-2
2.785829870E-1,-5.016726851E-1,-1.797469556E-1,7.895427197E-2
2.806896010E-1,-4.967857897E-1,-1.834121495E-1,7.895427197E-2
2.827962160E-1,-4.906771481E-1,-1.882990748E-1,7.895427197E-2
2.849028300E-1,-4.821250141E-1,-1.895207912E-1,8.017600328E-2
2.870094450E-1,-4.711294472E-1,-1.968511790E-1,8.139773458E-2
2.891160590E-1,-4.625773430E-1,-2.066250145E-1,8.261945844E-2
2.912227260E-1,-4.515817761E-1,-2.127336562E-1,8.384118974E-2
2.933293410E-1,-4.381427765E-1,-2.212857604E-1,8.628465235E-2
2.954359550E-1,-4.283689260E-1,-2.310595959E-1,8.750637621E-2
2.975425700E-1,-4.149298966E-1,-2.371682525E-1,8.872810751E-2
2.996492370E-1,-4.002691507E-1,-2.481638193E-1,8.994983882E-2
3.017557990E-1,-3.856084049E-1,-2.554942071E-1,8.872810751E-2
3.038624660E-1,-3.721693754E-1,-2.640463114E-1,8.994983882E-2
3.059690800E-1,-3.587303460E-1,-2.725984156E-1,8.994983882E-2
3.080756950E-1,-3.416261375E-1,-2.860374451E-1,9.239330143E-2
3.101823090E-1,-3.245218992E-1,-3.043633699E-1,9.483675659E-2
3.122889240E-1,-3.110828996E-1,-3.068068326E-1,9.483675659E-2
3.143955910E-1,-2.988655865E-1,-2.970330119E-1,9.483675659E-2
