"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.195843700E-2,-2.200680820E1,-4.789208070E1,8.449392799E2,NaN,NaN,9.878600311E1,1.847596359E1
1.015566197E0,-2.200693160E1,-4.789195366E1,8.544392912E2,0.000000000E0,NaN,3.790092468E0,3.565474987E0
1.661894218E0,-2.200693091E1,-4.789195332E1,8.543606780E2,0.000000000E0,NaN,3.790092468E0,3.847633362E0
2.660891405E0,-2.200693126E1,-4.789195347E1,8.543227141E2,0.000000000E0,NaN,3.906733990E0,4.183541298E0
3.661129061E0,-2.200693125E1,-4.789195337E1,8.543216153E2,0.000000000E0,NaN,4.168712139E0,4.556829929E0
4.661369685E0,-2.200693131E1,-4.789195336E1,8.543262539E2,0.000000000E0,NaN,4.216731548E0,4.515877724E0
5.661322654E0,-2.200693119E1,-4.789195360E1,8.542298188E2,0.000000000E0,NaN,3.976488352E0,4.285167217E0
6.660933278E0,-2.200693113E1,-4.789195366E1,8.541888032E2,0.000000000E0,NaN,3.977316618E0,4.132073879E0
7.661579476E0,-2.200693113E1,-4.789195405E1,8.541780615E2,0.000000000E0,NaN,3.855248451E0,4.023530006E0
8.661147809E0,-2.200693123E1,-4.789195391E1,8.544388035E2,0.000000000E0,NaN,3.810701609E0,3.924455166E0
9.661107183E0,-2.200693075E1,-4.789195567E1,8.539822629E2,0.000000000E0,NaN,3.790092468E0,3.461669922E0
1.066177078E1,-2.200692979E1,-4.789196192E1,8.524568804E2,0.000000000E0,NaN,3.790092468E0,3.034704447E0
1.166176932E1,-2.200693022E1,-4.789196449E1,8.518760726E2,0.000000000E0,NaN,3.790092468E0,2.645030975E0
1.266179390E1,-2.200691724E1,-4.789199978E1,8.507373292E2,4.799999893E-1,3.437000122E2,3.790092468E0,2.500000000E0
1.366082400E1,-2.200690586E1,-4.789203571E1,8.516718277E2,1.500000060E-1,1.889999962E1,3.790092468E0,2.500000000E0
1.466180656E1,-2.200690669E1,-4.789205395E1,8.523167463E2,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.566172468E1,-2.200690964E1,-4.789205400E1,8.524377161E2,4.199999869E-1,1.221999969E2,3.790092468E0,2.500000000E0
1.666168406E1,-2.200690779E1,-4.789205778E1,8.529455343E2,4.799999893E-1,1.056999969E2,3.790092468E0,2.500000000E0
1.766109656E1,-2.200690689E1,-4.789205826E1,8.528910921E2,6.399999857E-1,6.220000076E1,3.790092468E0,2.500000000E0
1.866120624E1,-2.200690748E1,-4.789205786E1,8.518288354E2,4.099999964E-1,8.190000153E1,3.790092468E0,2.500000000E0
1.966087968E1,-2.200689974E1,-4.789205079E1,8.514698233E2,1.740000010E0,4.909999847E1,3.790092468E0,2.500000000E0
2.066087234E1,-2.200688389E1,-4.789204481E1,8.527881861E2,1.620000005E0,4.479999924E1,3.790092468E0,2.500000000E0
2.166098608E1,-2.200687009E1,-4.789203708E1,8.531991968E2,1.629999995E0,4.640000153E1,3.790092468E0,2.500000000E0
2.266183900E1,-2.200686102E1,-4.789202896E1,8.547494861E2,1.519999981E0,8.109999847E1,3.790092468E0,2.500000000E0
2.366166327E1,-2.200685309E1,-4.789201863E1,8.566083658E2,1.730000019E0,9.890000153E1,3.790092468E0,2.500000000E0
2.466177733E1,-2.200684827E1,-4.789200851E1,8.573588453E2,1.620000005E0,1.091999969E2,3.790092468E0,2.500000000E0
2.566103968E1,-2.200684658E1,-4.789199839E1,8.578393031E2,1.509999990E0,1.168000031E2,3.790092468E0,2.500000000E0
2.666119291E1,-2.200684712E1,-4.789198851E1,8.569789394E2,1.409999967E0,1.273000031E2,3.790092468E0,2.500000000E0
2.766177233E1,-2.200685160E1,-4.789198336E1,8.572672604E2,1.269999981E0,1.456000061E2,3.790092468E0,2.500000000E0
2.866158046E1,-2.200685695E1,-4.789198336E1,8.574781944E2,1.070000052E0,1.716000061E2,3.790092468E0,2.500000000E0
2.966095436E1,-2.200686597E1,-4.789199385E1,8.575225124E2,1.639999986E0,2.223000031E2,3.790092468E0,2.500000000E0
3.066165686E1,-2.200687235E1,-4.789200393E1,8.581369000E2,1.049999952E0,2.268999939E2,3.790092468E0,2.500000000E0
3.166169671E1,-2.200687600E1,-4.789201320E1,8.578117133E2,1.019999981E0,2.316000061E2,3.790092468E0,2.555953264E0
3.266097540E1,-2.200688145E1,-4.789201953E1,8.578350327E2,1.039999962E0,2.218999939E2,3.790092468E0,2.973736763E0
3.366178686E1,-2.200688836E1,-4.789202054E1,8.580265576E2,6.100000143E-1,2.003000031E2,3.790092468E0,3.144541025E0
3.466128046E1,-2.200689411E1,-4.789201969E1,8.581290918E2,3.899999857E-1,2.030000000E2,3.790092468E0,3.372019529E0
3.566116717E1,-2.200690294E1,-4.789202756E1,8.577218688E2,1.240000010E0,2.251000061E2,3.790092468E0,3.678982258E0
3.666134822E1,-2.200690896E1,-4.789203448E1,8.572423808E2,7.400000095E-1,2.278999939E2,3.790092468E0,3.923330545E0
