"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
2.153934100E-2,8.806569715E-1,-3.917099535E-2,1.971053034E-1,4.290203154E-1,5.655656936E1,6.216729370E0,2.238167295E1,5.317799997E1
2.653934100E-2,8.818175925E-1,-3.298222274E-2,1.888869703E-1,4.308498800E-1,5.627519636E1,6.441236673E0,2.119532398E1,5.328601833E1
3.153934100E-2,8.827082188E-1,-2.581329644E-2,1.808452904E-1,4.329605699E-1,5.605839992E1,6.784402989E0,1.997557518E1,5.345122086E1
3.653934100E-2,8.831907665E-1,-1.857942715E-2,1.737838537E-1,4.352333248E-1,5.594061570E1,7.190571572E0,1.885300790E1,5.366316890E1
4.153934100E-2,8.833295747E-1,-1.197579317E-2,1.679819673E-1,4.374557137E-1,5.590669202E1,7.597143627E0,1.789325778E1,5.389017435E1
4.653934100E-2,8.832295896E-1,-6.205765530E-3,1.634212881E-1,4.395002425E-1,5.593112954E1,7.979926762E0,1.710548993E1,5.411243496E1
5.153934100E-2,8.829318845E-1,-1.185580739E-3,1.600460559E-1,4.413786829E-1,5.600383407E1,8.345999918E0,1.647913216E1,5.433169910E1
5.653934100E-2,8.824761066E-1,3.102955874E-3,1.577704996E-1,4.430967867E-1,5.611497486E1,8.693583250E0,1.600418531E1,5.454745904E1
6.153934100E-2,8.818220459E-1,6.721288431E-3,1.566133350E-1,4.447661936E-1,5.627411422E1,9.033273045E0,1.567803572E1,5.477638589E1
6.653934100E-2,8.810242693E-1,9.398116730E-3,1.565230191E-1,4.463277459E-1,5.646766338E1,9.333893197E0,1.551031629E1,5.500754438E1
7.153934100E-2,8.801246782E-1,1.127755549E-2,1.572616100E-1,4.477970004E-1,5.668518613E1,9.597977185E0,1.546915303E1,5.523950100E1
7.653934100E-2,8.791532608E-1,1.254822686E-2,1.585812569E-1,4.492038190E-1,5.691922026E1,9.832009697E0,1.551918564E1,5.547255940E1
8.153934100E-2,8.781940522E-1,1.325750537E-2,1.601941139E-1,4.504856169E-1,5.714945097E1,1.002346462E1,1.562966150E1,5.569190172E1
8.653934100E-2,8.773058003E-1,1.341022644E-2,1.619039178E-1,4.515991807E-1,5.736189574E1,1.016075563E1,1.578131254E1,5.588677494E1
9.153934100E-2,8.765195070E-1,1.303177513E-2,1.635689437E-1,4.525361061E-1,5.754935590E1,1.023797790E1,1.595891785E1,5.605235329E1
9.653934100E-2,8.759162536E-1,1.210047863E-2,1.649637967E-1,4.532231688E-1,5.769279980E1,1.023791943E1,1.614209785E1,5.617216872E1
1.015393410E-1,8.754482058E-1,1.061577909E-2,1.661516875E-1,4.537304938E-1,5.780386982E1,1.016531840E1,1.633667296E1,5.625680886E1
1.065393410E-1,8.750967616E-1,8.636128157E-3,1.670940965E-1,4.541042149E-1,5.788714120E1,1.002452888E1,1.653515538E1,5.631157597E1
1.115393410E-1,8.748244613E-1,6.218042225E-3,1.678007543E-1,4.544077516E-1,5.795158502E1,9.822983125E0,1.673474807E1,5.634548664E1
1.165393410E-1,8.746424367E-1,3.501716768E-3,1.681495905E-1,4.546581805E-1,5.799462732E1,9.567993390E0,1.691528086E1,5.635874273E1
1.215393410E-1,8.745121218E-1,6.102285115E-4,1.681684852E-1,4.549148679E-1,5.802542421E1,9.275044991E0,1.707214097E1,5.636136238E1
1.265393410E-1,8.744219476E-1,-2.280877437E-3,1.678177416E-1,4.552123249E-1,5.804672605E1,8.960596476E0,1.719133636E1,5.635893394E1
1.315393410E-1,8.743547007E-1,-5.081507843E-3,1.671265513E-1,4.555729926E-1,5.806260715E1,8.636251659E0,1.727065072E1,5.635654050E1
1.365393410E-1,8.743041027E-1,-7.670848630E-3,1.661008000E-1,4.560087919E-1,5.807455379E1,8.315215497E0,1.730397854E1,5.635763272E1
1.415393410E-1,8.742870954E-1,-9.985157289E-3,1.647329032E-1,4.564925432E-1,5.807856886E1,8.003195688E0,1.728734591E1,5.635947564E1
1.465393410E-1,8.743546819E-1,-1.193751581E-2,1.629397422E-1,4.569595456E-1,5.806261157E1,7.703028699E0,1.720816479E1,5.635263299E1
1.515393410E-1,8.745336317E-1,-1.346349809E-2,1.607089788E-1,4.573644996E-1,5.802034189E1,7.419918929E0,1.706199467E1,5.633196895E1
