"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.471213800E-2,3.828740120E-2,4.687213898E-2,1.479806900E-1
1.971213800E-2,6.943941116E-2,1.157885790E-1,2.724905014E-1
2.471213800E-2,1.019916534E-1,1.765402555E-1,4.308700562E-1
2.971213800E-2,1.550943851E-1,2.323811054E-1,6.203012466E-1
3.471213800E-2,2.056722641E-1,2.550140619E-1,7.418251038E-1
3.971213800E-2,2.266838551E-1,2.772501707E-1,9.009084702E-1
4.471213800E-2,2.209558487E-1,2.980592251E-1,1.088744164E0
4.971213800E-2,2.513653040E-1,2.877944708E-1,1.234752655E0
5.471213800E-2,2.956053019E-1,2.730009556E-1,1.312982559E0
5.971213800E-2,3.574590683E-1,2.430014610E-1,1.386281967E0
6.471213800E-2,4.038527012E-1,2.186658382E-1,1.483763695E0
6.971213800E-2,4.424564838E-1,2.331296206E-1,1.572808266E0
7.471213800E-2,4.594057798E-1,2.436885834E-1,1.625011444E0
7.971213800E-2,4.656220675E-1,2.391517162E-1,1.615474701E0
8.471213800E-2,4.081174135E-1,2.330679893E-1,1.585571289E0
8.971213800E-2,3.300573826E-1,2.031033039E-1,1.595632553E0
9.471213800E-2,2.453523874E-1,1.633713245E-1,1.566193581E0
9.971213800E-2,1.442884207E-1,1.185324192E-1,1.568805695E0
1.047121380E-1,4.401826859E-2,8.149266243E-2,1.557571411E0
1.097121380E-1,-3.719377518E-2,4.535865784E-2,1.539327621E0
1.147121380E-1,-3.892827034E-2,1.966738701E-2,1.521736145E0
1.197121380E-1,-1.388216019E-2,-2.436399460E-3,1.518065453E0
1.247121380E-1,3.961533308E-2,-6.091594696E-3,1.505869865E0
1.297121380E-1,5.401676893E-2,5.345940590E-3,1.522045135E0
1.347121380E-1,7.757163048E-2,3.734254837E-2,1.551886559E0
1.397121380E-1,3.152340651E-2,6.893706322E-2,1.581272125E0
1.447121380E-1,-4.558366537E-2,1.000901461E-1,1.626840591E0
1.497121380E-1,-1.105458736E-1,1.335892677E-1,1.671532631E0
1.547121380E-1,-1.335455179E-1,1.668303013E-1,1.789139748E0
1.597121380E-1,-1.220818162E-1,1.762279272E-1,1.936833382E0
1.647121380E-1,-1.358859539E-1,1.979862452E-1,2.064673424E0
1.697121380E-1,-1.589302719E-1,1.810799837E-1,2.193845749E0
1.747121380E-1,-1.889872551E-1,1.474865675E-1,2.334397316E0
1.797121380E-1,-2.115978599E-1,7.594120502E-2,2.523171425E0
1.847121380E-1,-2.116386890E-1,-1.734280586E-2,2.739317894E0
1.897121380E-1,-1.894491613E-1,-1.403615475E-1,2.896506310E0
1.947121380E-1,-1.874694526E-1,-2.850146294E-1,2.901670456E0
1.997121380E-1,-1.726181060E-1,-4.697780609E-1,2.646937370E0
2.047121380E-1,-1.813858151E-1,-6.534326077E-1,2.188584328E0
2.097121380E-1,-2.266176343E-1,-8.183535337E-1,1.759021759E0
2.147121380E-1,-2.377322614E-1,-9.594046474E-1,1.293978691E0
2.197121380E-1,-2.515756786E-1,-1.062257290E0,7.861967087E-1
2.247121380E-1,-2.574053109E-1,-1.144598007E0,2.699632645E-1
2.297121380E-1,-2.804606259E-1,-1.192088127E0,-2.477493286E-1
2.347121380E-1,-2.455516458E-1,-1.207882285E0,-7.606878281E-1
2.397121380E-1,-1.323172450E-1,-1.179435968E0,-1.195568085E0
2.447121380E-1,-3.123452887E-3,-1.110566616E0,-1.521391869E0
2.497121380E-1,1.263611466E-1,-1.012901783E0,-1.791765213E0
2.547121380E-1,2.337743193E-1,-9.069209695E-1,-2.015030861E0
2.597121380E-1,3.387345672E-1,-7.695530653E-1,-2.203038216E0
2.647121380E-1,3.768617213E-1,-5.931599736E-1,-2.413698196E0
2.697121380E-1,3.910320401E-1,-3.965150118E-1,-2.562411308E0
2.747121380E-1,3.856748641E-1,-2.202784419E-1,-2.663100243E0
2.797121380E-1,4.099836648E-1,-3.284877539E-2,-2.657098770E0
2.847121380E-1,4.525842369E-1,1.378266215E-1,-2.586407661E0
2.897121380E-1,5.179947019E-1,2.422799468E-1,-2.451550484E0
2.947121380E-1,5.455765128E-1,3.133296371E-1,-2.256149292E0
2.997121380E-1,6.084872484E-1,3.381713033E-1,-2.019354820E0
3.047121380E-1,6.686078310E-1,3.084523082E-1,-1.739216805E0
3.097121380E-1,6.968080997E-1,2.433385253E-1,-1.477764130E0
3.147121380E-1,7.072080374E-1,1.122836471E-1,-1.241740227E0
3.197121380E-1,7.424550056E-1,-5.601119995E-2,-1.098320007E0
3.247121380E-1,7.814196348E-1,-2.286392152E-1,-1.016610146E0
3.297121380E-1,7.986290455E-1,-4.133839011E-1,-1.022159576E0
3.347121380E-1,8.011547327E-1,-6.111196280E-1,-1.144248962E0
3.397121380E-1,7.428418398E-1,-7.855407596E-1,-1.324297905E0
3.447121380E-1,6.730580330E-1,-9.306274056E-1,-1.583791733E0
3.497121380E-1,6.170376539E-1,-1.047688961E0,-1.858743668E0
3.547121380E-1,5.677885413E-1,-1.123420000E0,-2.112754822E0
3.597121380E-1,5.212111473E-1,-1.174679875E0,-2.352571487E0
3.647121380E-1,4.989689589E-1,-1.169664264E0,-2.548831940E0
3.697121380E-1,4.754189253E-1,-1.117985964E0,-2.658249855E0
3.747121380E-1,4.168504477E-1,-1.012780905E0,-2.725640297E0
3.797121380E-1,3.363606334E-1,-8.872704506E-1,-2.747475624E0
3.847121380E-1,2.215610743E-1,-7.418979406E-1,-2.752575874E0
3.897121380E-1,1.194075346E-1,-5.729461908E-1,-2.766635895E0
3.947121380E-1,2.518361807E-2,-3.808425665E-1,-2.805277824E0
3.997121380E-1,-4.807972908E-2,-1.799357533E-1,-2.851086617E0
4.047121380E-1,-1.136205196E-1,1.131297648E-2,-2.911862373E0
4.097121380E-1,-1.938090324E-1,1.650677621E-1,-2.977005959E0
4.147121380E-1,-2.326380014E-1,3.259890079E-1,-3.098839283E0
4.197121380E-1,-2.555124462E-1,4.422234297E-1,-3.248071671E0
4.247121380E-1,-2.384911478E-1,5.255424976E-1,-3.350791931E0
4.297121380E-1,-1.580095142E-1,5.991355181E-1,-3.456298351E0
4.347121380E-1,-3.756368160E-2,6.599172354E-1,-3.474419594E0
4.397121380E-1,5.590677261E-2,7.020300627E-1,-3.441146851E0
4.447121380E-1,1.304236054E-1,6.965944767E-1,-3.390869141E0
4.497121380E-1,1.960139573E-1,6.556437016E-1,-3.313045979E0
4.547121380E-1,2.452981472E-1,6.146570444E-1,-3.261625767E0
4.597121380E-1,2.950305045E-1,5.700643063E-1,-3.236721039E0
4.647121380E-1,2.879695594E-1,5.378835201E-1,-3.282416344E0
4.697121380E-1,2.385694981E-1,4.825488925E-1,-3.386138916E0
4.747121380E-1,1.583915055E-1,4.407090545E-1,-3.537628174E0
4.797121380E-1,6.237700582E-2,4.102784395E-1,-3.675637245E0
4.847121380E-1,-6.351245940E-2,3.803054690E-1,-3.800186157E0
4.897121380E-1,-1.893732846E-1,3.652627766E-1,-3.865818977E0
4.947121380E-1,-2.792381346E-1,3.787485659E-1,-3.883697033E0
4.997121380E-1,-3.549914360E-1,4.295454025E-1,-3.884885788E0
