"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.525167300E-2,2.754375076E1,-1.031250000E0,1.350000095E1
3.525167300E-2,2.831250191E1,1.500000060E-1,1.198125076E1
4.525167300E-2,2.844375038E1,5.812500119E-1,1.260000038E1
5.525167300E-2,2.758125114E1,-5.812500119E-1,1.198125076E1
6.525167300E-2,2.760000038E1,-1.031250000E0,1.198125076E1
7.525167300E-2,2.761875153E1,-2.812500000E-1,1.093125057E1
8.525167300E-2,2.836875153E1,-3.000000119E-1,1.093125057E1
9.525167300E-2,2.831250191E1,4.312500060E-1,1.168125057E1
1.052516730E-1,2.771250153E1,-7.500000000E-1,1.290000057E1
1.152516730E-1,2.938125038E1,-6.187500358E-1,1.275000095E1
1.252516730E-1,2.748750114E1,1.612500072E0,1.276875019E1
1.352516730E-1,2.833125114E1,1.181250095E0,1.093125057E1
1.452516730E-1,2.788125038E1,4.500000179E-1,1.123125076E1
1.552516730E-1,2.664375114E1,1.350000024E0,1.140000057E1
1.652516730E-1,2.780625153E1,2.662500143E0,1.125000000E1
1.752516730E-1,2.784375191E1,4.312500060E-1,1.245000076E1
1.852516730E-1,2.895000076E1,1.031250000E0,1.063125038E1
1.952516730E-1,2.859375191E1,1.162500024E0,1.200000000E1
2.052516730E-1,2.859375191E1,1.162500024E0,1.200000000E1
2.152516730E-1,2.711250114E1,4.500000179E-1,1.168125057E1
2.252516730E-1,2.829375076E1,1.181250095E0,1.170000076E1
2.352516730E-1,2.985000038E1,1.612500072E0,1.018125057E1
2.452516730E-1,2.831250191E1,1.912500024E0,1.048125076E1
2.552516730E-1,2.855625153E1,2.643750191E0,1.171875000E1
2.652516730E-1,2.765625191E1,2.062500000E0,1.185000038E1
2.752516730E-1,2.887500191E1,2.793750048E0,1.110000038E1
2.852516730E-1,2.846250153E1,1.331250072E0,1.140000057E1
2.952516730E-1,2.810625076E1,2.793750048E0,1.141875076E1
3.052516730E-1,2.810625076E1,2.793750048E0,1.141875076E1
3.152516730E-1,2.863125038E1,1.181250095E0,1.048125076E1
3.252516730E-1,2.814375114E1,1.331250072E0,1.185000038E1
3.352516730E-1,2.857500076E1,1.912500024E0,1.170000076E1
3.452516730E-1,2.857500076E1,1.912500024E0,1.170000076E1
3.552516730E-1,2.746875191E1,2.943750143E0,1.201875019E1
3.652516730E-1,2.865000153E1,1.931250095E0,9.731250763E0
3.752516730E-1,3.080625153E1,-1.875000075E-2,1.001250076E1
3.852516730E-1,3.080625153E1,-1.875000075E-2,1.001250076E1
3.952516730E-1,2.962500191E1,3.000000119E-1,8.812500000E0
4.052516730E-1,2.913750076E1,-3.000000119E-1,1.046250057E1
4.152516730E-1,2.915625191E1,1.500000060E-1,9.712500572E0
4.252516730E-1,2.915625191E1,1.500000060E-1,9.712500572E0
4.352516730E-1,2.928750038E1,1.031250000E0,9.262500763E0
4.452516730E-1,2.964375114E1,-7.312500477E-1,9.562500000E0
4.552516730E-1,2.880000114E1,-1.312500000E0,8.175000191E0
4.652516730E-1,3.020625114E1,1.312500089E-1,9.712500572E0
4.752516730E-1,2.902500153E1,0.000000000E0,9.262500763E0
4.852516730E-1,2.906250191E1,1.875000075E-2,7.743750095E0
4.952516730E-1,2.951250076E1,1.687500030E-1,7.893750191E0
5.052516730E-1,2.951250076E1,-1.631250024E0,9.693750381E0
5.152516730E-1,3.018750191E1,8.812500238E-1,9.412500381E0
5.252516730E-1,2.833125114E1,8.812500238E-1,1.093125057E1
5.352516730E-1,2.998125076E1,-4.687500298E-1,1.260000038E1
5.452516730E-1,2.996250153E1,-6.000000238E-1,8.943750381E0
5.552516730E-1,2.985000038E1,1.612500072E0,1.018125057E1
5.652516730E-1,2.850000191E1,1.331250072E0,1.003125000E1
5.752516730E-1,2.930625153E1,0.000000000E0,9.562500000E0
5.852516730E-1,2.998125076E1,2.625000179E-1,1.183125019E1
5.952516730E-1,2.643750191E1,9.187500477E-1,8.962500572E0
6.052516730E-1,2.913750076E1,1.500000060E-1,1.016250038E1
6.152516730E-1,2.821875191E1,6.000000238E-1,1.033125019E1
6.252516730E-1,2.866875076E1,4.500000179E-1,1.048125076E1
6.352516730E-1,2.911875153E1,8.812500238E-1,1.018125057E1
6.452516730E-1,3.061875153E1,1.612500072E0,9.431250572E0
6.552516730E-1,3.031875038E1,1.312500000E0,1.003125000E1
6.652516730E-1,3.037500191E1,5.812500119E-1,8.812500000E0
6.752516730E-1,3.155625153E1,5.625000000E-1,9.562500000E0
6.852516730E-1,2.896875191E1,1.331250072E0,9.262500763E0
6.952516730E-1,2.895000076E1,1.781250119E0,9.581250191E0
7.052516730E-1,2.988750076E1,2.362500191E0,8.212500572E0
7.152516730E-1,2.958750153E1,4.687500298E-1,5.175000191E0
7.252516730E-1,2.934375191E1,6.000000238E-1,7.743750095E0
7.352516730E-1,2.992500114E1,8.812500238E-1,8.662500381E0
7.452516730E-1,2.932500076E1,1.050000072E0,8.062500000E0
7.552516730E-1,2.962500191E1,1.331250072E0,7.762500286E0
7.652516730E-1,2.925000191E1,1.218750000E0,5.925000191E0
7.752516730E-1,3.045000076E1,1.050000072E0,6.225000381E0
7.852516730E-1,2.938125038E1,1.050000072E0,6.543750286E0
7.952516730E-1,2.844375038E1,4.687500298E-1,7.893750191E0
8.052516730E-1,2.966250038E1,1.781250119E0,6.543750286E0
8.152516730E-1,2.915625191E1,1.631250024E0,7.912500381E0
8.252516730E-1,2.857500076E1,1.800000072E0,6.993750095E0
8.352516730E-1,2.947500038E1,2.681250095E0,6.712500095E0
8.452516730E-1,2.776875114E1,2.531250000E0,8.062500000E0
8.552516730E-1,2.855625153E1,2.081250191E0,7.762500286E0
8.652516730E-1,3.024375153E1,4.500000179E-1,8.193750381E0
8.752516730E-1,2.874375153E1,1.200000048E0,7.143750191E0
8.852516730E-1,2.857500076E1,1.050000072E0,8.062500000E0
8.952516730E-1,3.001875114E1,2.512500048E0,8.531250000E0
9.052516730E-1,3.031875038E1,1.762500048E0,9.281250000E0
9.152516730E-1,2.930625153E1,1.331250072E0,8.512500763E0
9.252516730E-1,2.911875153E1,1.181250095E0,9.412500381E0
9.352516730E-1,2.745000076E1,1.800000072E0,9.281250000E0
9.452516730E-1,2.866875076E1,1.631250024E0,9.431250572E0
9.552516730E-1,2.891250038E1,1.762500048E0,1.065000057E1
9.652516730E-1,2.958750153E1,2.062500000E0,8.512500763E0
9.752516730E-1,2.915625191E1,3.525000095E0,1.065000057E1
9.852516730E-1,2.859375191E1,2.362500191E0,1.095000076E1
9.952516730E-1,2.859375191E1,2.662500143E0,1.050000000E1
1.005251673E0,2.896875191E1,3.675000191E0,1.171875000E1
1.015251673E0,2.949375153E1,3.525000095E0,1.005000019E1
1.025251673E0,3.249375153E1,3.187500238E0,1.065000057E1
1.035251673E0,2.902500153E1,2.643750191E0,1.095000076E1
1.045251673E0,2.938125038E1,3.393750191E0,8.981250763E0
1.055251673E0,3.153750038E1,5.868750095E0,9.768750191E0
1.065251673E0,3.080625153E1,5.587500095E0,9.468750000E0
1.075251673E0,3.046875191E1,6.318750381E0,9.468750000E0
1.085251673E0,3.155625153E1,5.868750095E0,9.018750191E0
1.095251673E0,2.985000038E1,6.018750191E0,1.038750076E1
1.105251673E0,3.120000076E1,6.300000191E0,1.023750019E1
1.115251673E0,3.013125038E1,6.018750191E0,1.113750076E1
1.125251673E0,3.003750038E1,4.856250286E0,1.021875000E1
